# multipoles are divided by excitation current and units are [T], [m] and [A]
# harmonics (dipole n=0): 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 
# MAG_LABEL   CURRENT[A]   <NORMAL_MULTIPOLES/CURRENT>[T/m^(n-1)/A]   <SKEW_MULTIPOLES/CURRENT>[T/m^(n-1)/A]
Q20-006   +1.995700e+00   +3.968379e-07 -7.566288e-02 -8.955093e-03 -1.725486e-01 +7.151215e-01 +1.395306e+03 -8.588039e+03 -5.987764e+06 +5.403072e+08 -2.805750e+11 -1.217004e+12 +1.278090e+13 +2.067473e+16 +6.809956e+18 -7.436103e+19   +2.615152e-06 -1.480913e-05 -4.538150e-03 +1.611306e-02 -2.596047e-01 -5.745202e+02 +5.354066e+04 -1.430644e+06 +3.274497e+07 -2.457746e+10 +8.513449e+11 +1.243933e+14 +1.745914e+16 -4.355572e+17 -1.948444e+20   
Q20-018   +1.994950e+00   +5.181167e-06 -7.464237e-02 +7.857620e-03 -1.009278e-01 +2.260844e+00 +1.314807e+03 -2.761890e+04 +9.695616e+05 +4.948767e+07 -2.849979e+11 +5.154776e+10 +2.162314e+13 -2.545037e+15 +6.124800e+18 +1.357250e+19   +2.892331e-06 -2.689273e-05 -5.598476e-03 +2.661792e-02 +5.665375e+00 -2.445059e+02 +3.866427e+03 +7.888498e+05 -1.389250e+07 +9.701727e+09 +7.307652e+10 +8.019414e+12 -5.705040e+14 -1.130285e+17 -1.825695e+19   
Q20-031   +1.995400e+00   +4.334677e-06 -7.420968e-02 +3.994267e-03 -6.954766e-02 -1.012050e+00 +1.201625e+03 +8.131092e+02 +7.347449e+04 +7.433402e+07 -2.727889e+11 +2.820945e+11 -1.150928e+12 +2.467538e+15 +6.095379e+18 -9.640478e+18   +2.985337e-06 -1.808997e-05 -4.962804e-03 +2.921971e-02 +6.230435e+00 -1.720054e+02 -6.520642e+03 +6.788985e+05 +1.386758e+08 +3.894258e+09 +2.941059e+10 -4.510212e+13 -2.513158e+14 -2.002674e+17 +1.209600e+19   
Q20-042   +1.995500e+00   +6.322551e-07 -7.499354e-02 -6.864375e-03 -1.411831e-01 -4.248045e+00 +1.083469e+03 +1.931296e+04 -1.221713e+05 +3.688449e+07 -2.819619e+11 +6.376527e+11 +1.553287e+13 -7.515375e+15 +5.829231e+18 +2.584760e+18   +3.725185e-06 -1.135789e-05 -7.755550e-03 -1.272474e-02 +6.816883e+00 -1.911368e+02 +2.485663e+04 +2.449926e+05 -1.674217e+05 -3.759124e+09 +3.984517e+11 -1.338645e+13 -1.345331e+15 -6.211040e+17 -1.138304e+19   
Q20-052   +1.995450e+00   +4.154371e-06 -7.568789e-02 +4.449539e-03 +1.348110e-02 +1.047387e+00 +1.248940e+03 -4.397696e+03 +3.220665e+05 +4.021739e+07 -2.800254e+11 +1.807372e+11 +6.662998e+12 +7.419580e+14 +5.981819e+18 -2.226898e+18   -9.581348e-07 +3.513787e-06 +6.533679e-03 +2.452256e-02 -1.724522e+00 +4.815970e+01 -2.028238e+04 -6.587978e+05 +7.254218e+07 +5.846576e+09 +2.049558e+11 -5.017465e+13 -9.994377e+14 +1.633033e+16 +2.349147e+19   
Q20-054   +1.995850e+00   +9.363404e-06 -7.584247e-02 +2.175073e-02 -6.601704e-02 +1.198417e+01 +1.195959e+03 -5.509452e+04 +2.660051e+05 -4.647823e+07 -2.807059e+11 +6.789313e+11 +4.617908e+12 -5.690182e+14 +5.964090e+18 +1.197069e+19   -1.644316e-06 -4.898164e-06 +8.312042e-03 +2.605720e-03 -1.055835e+00 -2.313157e+02 -9.401769e+03 +9.214039e+05 +2.444537e+07 +3.259012e+09 -2.937712e+10 +4.880458e+13 -1.997205e+15 -2.097819e+17 +1.589202e+19   
Q20-084   +1.994950e+00   +3.336788e-06 -7.569809e-02 +1.578133e-03 -7.620577e-02 -4.345477e+00 +1.416363e+03 +3.063540e+03 +1.740547e+05 +1.547711e+08 -2.913449e+11 +2.584193e+11 +6.681867e+13 +5.281701e+15 +5.912980e+18 -1.029094e+19   +1.534748e-06 +1.041894e-05 -1.172024e-03 +6.626993e-02 +3.235405e+00 -3.198549e+02 +1.581162e+03 -2.388043e+06 +8.215770e+07 +1.584254e+10 -6.623580e+11 -6.762430e+13 -3.533654e+15 +4.328381e+17 -5.157317e+19   
Q20-085   +1.993100e+00   +3.230221e-06 -7.671858e-02 +1.011769e-03 +1.574373e-02 -3.987460e-01 +1.336270e+03 -5.237976e+03 -4.488798e+05 -7.973468e+07 -2.992867e+11 -4.725837e+11 +7.243149e+12 -4.195055e+15 +5.716999e+18 -2.696157e+19   -1.207139e-06 -5.207591e-06 +6.576424e-03 +3.989626e-02 -8.354754e-01 -1.914368e+02 -2.195209e+04 -8.123662e+05 +2.001208e+07 +9.689775e+09 +1.164401e+12 +6.976469e+13 +3.554012e+15 +2.997855e+17 +2.374825e+19   
Q20-089   +1.994850e+00   +4.002625e-06 -7.528150e-02 +2.614143e-03 -6.578595e-02 +1.903414e+00 +1.199780e+03 -1.345309e+04 +2.798581e+05 +1.057855e+08 -2.727632e+11 -7.191413e+11 +7.017811e+13 -6.023029e+14 +6.180685e+18 -1.159954e+19   -1.019581e-06 +6.625435e-06 +6.434900e-03 -4.325591e-03 +1.235844e+00 -2.048363e+02 -2.453006e+04 +1.256553e+05 +6.502268e+07 -4.971746e+09 -5.800697e+10 -6.700860e+13 +1.545140e+15 -9.587332e+16 +1.159287e+19   
Q20-093   +1.993050e+00   +5.547779e-06 -7.607270e-02 +9.841188e-03 -1.303470e-02 +3.394286e+00 +1.110588e+03 -3.218489e+04 -5.144005e+05 +9.749224e+07 -2.791729e+11 +4.186264e+10 -2.953282e+13 -1.883293e+15 +5.694830e+18 +1.124395e+19   +8.344306e-07 +4.116543e-06 +1.806119e-03 +2.178725e-02 +1.541911e+00 -2.949440e+02 -2.500436e+04 -2.165391e+05 +1.120154e+07 -6.070309e+09 +3.695951e+11 -3.313109e+13 -2.644368e+15 -1.613264e+17 -2.145425e+19   
